variables = x y Den P T Ma u v E H
zone i=197 and j=30
0.0448653 -0.0148963 1.44624 1.36834e+10 82012 0.0838903 75.9011 0 2.37012e+10 3.31625e+10 -12921.1 -13599.7
0.0443776 -0.0155284 1.44718 1.37179e+10 82166.2 0.102074 10.4434 0 2.3767e+10 3.32461e+10 -6540.7 -18808.7
0.0438699 -0.0161445 1.43131 1.35989e+10 82357.5 0.111561 -153.792 0 2.38359e+10 3.3337e+10 7999.99 -21514.7
0.0433427 -0.0167441 1.42742 1.3622e+10 82719.6 0.135557 -130.059 0 2.39825e+10 3.35255e+10 13048.8 -9070.36
0.0427966 -0.0173264 1.42912 1.36053e+10 82519.2 0.142333 -22.007 -0 2.39356e+10 3.34554e+10 3198.25 10899.3
0.042232 -0.0178909 1.44165 1.36105e+10 81838.3 0.107136 -31.2905 -0 2.36827e+10 3.3124e+10 2049.13 24656.7
0.0416497 -0.0184371 1.44902 1.35267e+10 80912.6 0.0671533 -181.1 -0 2.33676e+10 3.2702e+10 5767.68 28266.5
0.0410502 -0.0189643 1.4391 1.33344e+10 80317 0.0475659 -118.027 -0 2.31791e+10 3.24449e+10 -3841.45 15299.3
0.040434 -0.019472 1.43569 1.33382e+10 80531.8 0.0328355 -59.4181 -0 2.32343e+10 3.25248e+10 -11724.4 -4150.86
0.0398019 -0.0199597 1.42222 1.3294e+10 81026.9 0.0393421 -43.5952 -0 2.33815e+10 3.27292e+10 -7263.76 -2807.52
0.0391545 -0.0204269 1.40903 1.32513e+10 81520.6 0.0443219 -41.1472 -0 2.35256e+10 3.29303e+10 -12813 8482.43
0.0384925 -0.0208731 1.40679 1.32165e+10 81435.8 0.0399612 -51.2227 0 2.34981e+10 3.28929e+10 -27390.5 2189.48
0.0378165 -0.0212979 1.41817 1.3281e+10 81176.6 0.062487 -83.7174 0 2.34391e+10 3.2804e+10 -18175 -9789.32
0.0371272 -0.0217007 1.42119 1.31579e+10 80249.4 0.0973118 -126.559 -0 2.32089e+10 3.24669e+10 -7552.17 -1845.17
0.0364254 -0.0220813 1.41212 1.30909e+10 80358.7 0.0834687 60.9203 -0 2.32292e+10 3.24998e+10 -27216.1 14964.1
0.0357118 -0.0224392 1.38496 1.32258e+10 82803.5 0.0690297 -31.4636 -0 2.39166e+10 3.34692e+10 -34323.9 10091.6
0.034987 -0.022774 1.36282 1.30672e+10 83115.1 0.0805605 -200.757 -0 2.40157e+10 3.36042e+10 -20224.2 -3316
0.0342519 -0.0230854 1.37977 1.29614e+10 81433.1 0.0723191 -51.0394 0 2.35207e+10 3.29152e+10 -23852.9 -3006.68
0.0335072 -0.0233731 1.3851 1.30151e+10 81453.8 0.0847115 24.5997 0 2.35404e+10 3.29373e+10 -31786.6 -983.423
0.0327536 -0.0236368 1.37527 1.30076e+10 81985.3 0.0962365 -83.7788 -0 2.37069e+10 3.31651e+10 -29151.9 800.906
0.031992 -0.0238762 1.37105 1.28754e+10 81400.2 0.0909305 -75.7868 -0 2.35314e+10 3.29221e+10 -28727.2 1884.92
0.031223 -0.0240911 1.37571 1.28785e+10 81143.3 0.0973027 21.77 0 2.34657e+10 3.28268e+10 -32524.3 1016.49
0.0304476 -0.0242812 1.37116 1.28782e+10 81412.8 0.098671 -53.7181 -0 2.35452e+10 3.29373e+10 -33882.2 4679.93
0.0296665 -0.0244463 1.35943 1.27704e+10 81427.9 0.0847319 -31.56 -0 2.35321e+10 3.2926e+10 -34811.4 11705.4
0.0288806 -0.0245864 1.36356 1.27902e+10 81307.7 0.0774833 17.1405 -0 2.34896e+10 3.28697e+10 -38550.2 22985.4
0.0280905 -0.0247011 1.36817 1.27638e+10 80866.6 0.10282 38.1893 -0 2.33973e+10 3.27265e+10 -41078.4 22490.5
0.0272971 -0.0247905 1.37566 1.28327e+10 80858.6 0.147761 50.7373 0 2.34649e+10 3.27932e+10 -42373.4 968.24
0.0265013 -0.0248544 1.37022 1.28239e+10 81125.6 0.157417 7.61089 0 2.35602e+10 3.29192e+10 -42789.7 -3380.88
0.0257039 -0.0248928 1.36997 1.2817e+10 81096.8 0.178843 38.4686 -0 2.36038e+10 3.29595e+10 -43698 10481.9
0.0249056 -0.0249056 1.37211 1.28031e+10 80881.4 0.216467 39.7743 0 2.36338e+10 3.29647e+10 -44558 1238.65
0.0241074 -0.0248928 1.36736 1.27773e+10 80998.9 0.223444 32.2634 0 2.36877e+10 3.30321e+10 -45255.4 -2386.87
0.0233099 -0.0248544 1.36756 1.27616e+10 80886.9 0.241312 39.2622 -0 2.37116e+10 3.30431e+10 -45851.1 7912.72
0.0225141 -0.0247905 1.36591 1.27195e+10 80718.4 0.266808 64.4147 0 2.37444e+10 3.30564e+10 -46164.2 2684.95
0.0217208 -0.0247011 1.36574 1.27353e+10 80829.3 0.270603 25.119 -0 2.37901e+10 3.3115e+10 -46935.4 3785.91
0.0209307 -0.0245864 1.36332 1.26791e+10 80614.8 0.286294 50.1392 0 2.37856e+10 3.30857e+10 -46487.7 1320.41
0.0201447 -0.0244463 1.36339 1.26956e+10 80715.8 0.289294 -36.8638 0 2.3826e+10 3.31378e+10 -47773.5 1698.97
0.0193636 -0.0242812 1.35829 1.26269e+10 80579.1 0.291549 -24.3432 -0 2.37945e+10 3.30905e+10 -46146.2 16512.1
0.0185882 -0.0240911 1.36055 1.26314e+10 80474.4 0.320707 120.708 -0 2.38795e+10 3.31635e+10 -44366.6 8907.77
0.0178193 -0.0238762 1.35922 1.26285e+10 80534.6 0.318862 78.7686 0 2.389e+10 3.31809e+10 -45132.3 -1583.42
0.0170577 -0.0236368 1.35879 1.26161e+10 80481.3 0.319434 11.6849 0 2.38767e+10 3.31614e+10 -46290.1 1693.12
0.0163041 -0.0233731 1.36106 1.26574e+10 80611.1 0.308087 -153.368 -0 2.38719e+10 3.31715e+10 -47864.4 14971.8
0.0155594 -0.0230854 1.36093 1.26233e+10 80402.5 0.316992 32.4432 -0 2.38495e+10 3.31251e+10 -40840.7 20841.7
0.0148242 -0.022774 1.36193 1.26407e+10 80454 0.344702 207.738 0 2.39762e+10 3.32578e+10 -38237.1 2044.92
0.0140995 -0.0224392 1.36055 1.26708e+10 80726.4 0.319017 0.206147 0 2.39479e+10 3.32609e+10 -42535.6 4046.69
0.0133858 -0.0220813 1.36707 1.27091e+10 80584.7 0.316497 -81.5118 -0 2.38948e+10 3.31914e+10 -42042.4 16228.2
0.012684 -0.0217007 1.36861 1.27294e+10 80622.4 0.31074 -41.2022 -0 2.38837e+10 3.31847e+10 -39545.5 15781.8
0.0119947 -0.0212979 1.37278 1.27763e+10 80673.9 0.311224 140.232 0 2.39011e+10 3.32081e+10 -32515.7 12695
0.0113187 -0.0208731 1.37231 1.27949e+10 80820.1 0.319027 32.3311 0 2.39748e+10 3.32986e+10 -35716 8677.24
0.0106567 -0.0204269 1.37846 1.28484e+10 80796.6 0.296336 -106.122 -0 2.38764e+10 3.31975e+10 -37350.4 19269.3
0.0100093 -0.0199597 1.38442 1.28964e+10 80748.6 0.303959 53.9035 -0 2.38935e+10 3.3209e+10 -29551.6 17586.5
0.00937722 -0.019472 1.38262 1.2934e+10 81087.4 0.288 36.4477 0 2.39367e+10 3.32913e+10 -29658.4 12669.6
0.00876109 -0.0189643 1.39016 1.29881e+10 80986.2 0.282973 7.82531 -0 2.3886e+10 3.32289e+10 -27710.7 17909.5
0.00816155 -0.0184371 1.39156 1.30129e+10 81058.9 0.279102 -45.3862 -0 2.38945e+10 3.32459e+10 -28949.6 16814.1
0.00757922 -0.0178909 1.39976 1.3084e+10 81026.3 0.265157 2.07464 -0 2.38309e+10 3.31784e+10 -24834.9 20287.1
0.00701468 -0.0173264 1.40029 1.31171e+10 81201.2 0.272704 54.5968 0 2.39075e+10 3.32753e+10 -21527.6 16766.6
0.00646854 -0.0167441 1.4074 1.3202e+10 81315.1 0.247592 -26.4865 -0 2.38565e+10 3.32374e+10 -23921.3 18364.6
0.00594134 -0.0161445 1.41337 1.32574e+10 81309.9 0.246539 18.5167 -0 2.38513e+10 3.32316e+10 -18510.4 20192.8
0.00543362 -0.0155284 1.41506 1.33107e+10 81538.1 0.231438 -8.62897 0 2.38749e+10 3.32815e+10 -19296.6 17277.6
0.00494592 -0.0148963 1.42258 1.33642e+10 81431.6 0.221815 -21.0833 -0 2.38119e+10 3.32062e+10 -17057.2 20640.4
0.00447872 -0.0142489 1.42197 1.33903e+10 81624.6 0.218911 8.40029 0 2.38605e+10 3.32771e+10 -14552.7 18163.3
0.00403252 -0.0135869 1.42858 1.34476e+10 81595.6 0.203016 -25.6057 -0 2.3805e+10 3.32182e+10 -15464.3 19187.5
0.00360776 -0.0129109 1.43064 1.34819e+10 81686 0.198104 4.72345 -0 2.38188e+10 3.32425e+10 -11893.6 19098
0.00320489 -0.0122216 1.43518 1.35454e+10 81811.8 0.183575 0.0444158 -0 2.38182e+10 3.32564e+10 -11879.6 17661.3
0.00282431 -0.0115198 1.44049 1.35991e+10 81833.1 0.173293 -13.3107 -0 2.38004e+10 3.32411e+10 -10843.9 18217.6
0.00246643 -0.0108061 1.44424 1.36593e+10 81981.5 0.162165 4.19335 -0 2.38187e+10 3.32765e+10 -8675.27 16874.2
0.00213161 -0.0100814 1.44916 1.37135e+10 82027.2 0.150784 -10.1609 -0 2.38085e+10 3.32716e+10 -8233.56 16350.1
